Source,params.n_layers,median_beta_1,median_gamma_1,median_beta_2,median_gamma_2,median_beta_3,median_gamma_3,median_beta_4,median_gamma_4,median_beta_5,median_gamma_5
four_regular_graph,1,-0.29860571376910267,-0.45574248704263226,NA,NA,NA,NA,NA,NA,NA,NA
geometric,1,0.2180528947870259,-0.22904083607536327,NA,NA,NA,NA,NA,NA,NA,NA
nearly_complete_bi_partite,1,-0.3366149492831807,0.41031935436508143,NA,NA,NA,NA,NA,NA,NA,NA
power_law_tree,1,0.3926949336483412,0.7893411797272021,NA,NA,NA,NA,NA,NA,NA,NA
three_regular_graph,1,0.2606892069212245,-0.5703256145066415,NA,NA,NA,NA,NA,NA,NA,NA
uniform_random,1,-0.27800927265535086,0.37498211864722286,NA,NA,NA,NA,NA,NA,NA,NA
watts_strogatz_small_world,1,-0.28320590941371904,-0.4376950636405977,NA,NA,NA,NA,NA,NA,NA,NA
four_regular_graph,2,-0.1809085398908547,-0.37679610230927263,0.23048855405962818,-0.2368414435722257,NA,NA,NA,NA,NA,NA
geometric,2,-0.12151163005673211,0.2920133901596056,-0.11139655040418117,0.08856353351173252,NA,NA,NA,NA,NA,NA
nearly_complete_bi_partite,2,0.15467657186769093,0.3512108059204294,0.13262692263946527,0.19799624153471998,NA,NA,NA,NA,NA,NA
power_law_tree,2,0.28360775733528426,0.6109898144362496,-0.24785916806483307,0.4402187990100601,NA,NA,NA,NA,NA,NA
three_regular_graph,2,-0.23476463720288937,0.4908970705207533,0.21680255728643025,-0.3222900554068127,NA,NA,NA,NA,NA,NA
uniform_random,2,0.19192328994031707,0.31967345863991914,-0.2256421779992607,-0.1721218931850242,NA,NA,NA,NA,NA,NA
watts_strogatz_small_world,2,-0.19010554321076745,0.37650229051643885,-0.2092673012627589,0.14256312136403596,NA,NA,NA,NA,NA,NA
four_regular_graph,3,0.1369720682113712,0.3238218621851797,0.03314505125657189,-0.6130859250175077,0.18367781082684648,-0.21577038093209627,NA,NA,NA,NA
geometric,3,-0.15639704038061064,0.3513764105811221,0.04870031564303649,-0.07615474789965183,-0.17832004779750554,0.13048749213780497,NA,NA,NA,NA
nearly_complete_bi_partite,3,0.09581575874556938,0.24727674143363387,-0.07151397799073235,-0.1764650626444563,-0.2107326112991007,0.15755619451592018,NA,NA,NA,NA
power_law_tree,3,0.24263485641057136,-0.5864325569123815,0.21897681169571565,-0.3826680269485022,0.19710420669912815,0.21933536816999372,NA,NA,NA,NA
three_regular_graph,3,-0.11645920115745188,0.3958480381934863,0.2671921565847929,0.2506043516958197,0.18368862827082105,-0.14474294474042732,NA,NA,NA,NA
uniform_random,3,0.14280973457126328,0.29518424396504384,-0.21164364138616182,0.16801713998794748,-0.13265035081814644,0.19915190226209672,NA,NA,NA,NA
watts_strogatz_small_world,3,0.1489532930518216,0.30971136522818027,0.20419834487161576,0.2401120197695274,-0.18678978716480912,0.10781703677408518,NA,NA,NA,NA
four_regular_graph,4,-0.07598312513292765,0.3302350212810348,0.0014880936332257594,0.20262940438369637,-0.06475878628056503,-0.0015624449153714484,0.10506106588925479,-0.16915311251055093,NA,NA
geometric,4,0.16677300852546367,-0.2983681069836449,0.13733702085639762,0.10461931712204552,-0.0665460898672419,-0.19916883447598044,-0.09348746148677266,-0.2524612884107733,NA,NA
nearly_complete_bi_partite,4,-0.02428474800574751,0.3314704472125521,0.09949538633035108,-0.21046032414345908,0.14407222500367772,0.16847005372263096,0.16362456951958423,-0.2336857144847845,NA,NA
power_law_tree,4,-0.15375636458735564,-0.5467186732962439,-0.22418333819165975,0.5080152275709515,-0.20333193019409584,-0.1860443101511167,-0.17918362828689702,0.11780749902430224,NA,NA
three_regular_graph,4,0.05499402210572299,0.36056224603779424,-0.16914358867291407,-0.29578560950556815,-0.09670867606318116,0.24507448161806528,-0.1816172200823508,-0.2541328425685189,NA,NA
uniform_random,4,0.13390076711994403,-1.425809954685997e-4,-0.11158094130576593,0.1008370244906819,-0.0695446932782621,0.18805904860152495,-0.15365502538947948,0.11600015166024238,NA,NA
watts_strogatz_small_world,4,0.09491119121187017,-0.30292038673776706,-0.01131112536650602,0.1734082599031154,0.01307591295170755,-0.01636587560197912,-0.13406447010504366,0.1735373050812861,NA,NA
four_regular_graph,5,0.19277632503252723,-0.2605513997742461,0.14547124758097582,0.007994004495978091,0.12488683669587208,-0.1662553256381742,-0.06199904739622214,-0.43090116640471054,0.15568430407266956,0.0762261714018452
geometric,5,-0.2068868687076834,-0.20366389385154043,-0.1372794018268096,0.21396494940419944,-0.03868657976195074,-0.15794830457847087,-0.058783213781910065,-0.10533646201719901,-0.1516567864385461,0.4280805948545456
nearly_complete_bi_partite,5,-0.14173986347775258,-0.30738508851153956,-0.04370078905951225,-0.18285176360978062,-0.20490769563772027,0.49349958516511816,0.0405113535883183,0.1570243501053786,0.1307824611804988,5.550570188729501e-5
power_law_tree,5,0.12866441317166927,0.4054820459806007,0.18714773559440495,-0.6105838295607188,-0.0631294037887564,0.10558363859413289,0.13477772417794756,0.13736189943540658,0.17021887191706897,-0.011297260695546851
three_regular_graph,5,0.0843000057295529,0.33598990582277544,-0.158907736690501,-0.21206438951608964,0.1456177874821596,-0.22161723008904136,0.0884210157616578,-0.13107595649071263,0.15656896854284336,-0.13915954479204487
uniform_random,5,0.030651386154744817,0.257651357878821,-0.06868279756782535,0.04045535440659293,-0.24801002587294507,0.3349429530536199,-0.12724659679467412,-0.12107968264327054,-0.14265322891816662,0.14719093709287115
watts_strogatz_small_world,5,0.16177898831198692,-0.2662855029876669,0.11380996226021498,-0.1952733420861554,0.09996492423976408,-0.1051552318868454,-0.0708639210603746,0.4154302477466793,0.00318648965995702,0.08023794461734311
